iter	Logloss
0	0.6820134321
1	0.6726335793
2	0.6609032515
3	0.6507817202
4	0.6441256366
5	0.6351761247
6	0.6268111578
7	0.6199876788
8	0.6113185177
9	0.6044671387
10	0.5965163387
11	0.5908175847
12	0.5845095733
13	0.5782940443
14	0.5737975354
15	0.5668708143
16	0.5613461222
17	0.5562023061
18	0.5518101355
19	0.5462808987
20	0.5423836737
21	0.538079268
22	0.5332659169
23	0.5307812825
24	0.52698802
25	0.5237817007
26	0.5207432802
27	0.5174762772
28	0.5130525708
29	0.5094704414
30	0.5059744246
31	0.5023807911
32	0.5003932464
33	0.4971291137
34	0.4939128499
35	0.4905547813
36	0.4885624271
37	0.4857459396
38	0.4832594876
39	0.4816871558
40	0.4799890251
41	0.4781066638
42	0.4762506169
43	0.4745688907
44	0.4726889261
45	0.4706926193
46	0.4691846032
47	0.4680360772
48	0.4662788183
49	0.4640991142
